timestamp,edges_detected,bbox_center_x,bbox_width,bbox_height,frame_center,error_px,error_percent,robot_action,motor_speed,frame_number
2026-02-03 11:40:13.908,NONE,388.00,244.00,326.00,320.00,68.00,10.62,STOP,0.00,497
2026-02-03 11:40:14.498,RIGHT,486.50,283.00,510.00,320.00,166.50,26.02,TURN_RIGHT,0.30,502
2026-02-03 11:40:15.207,NONE,398.50,317.00,493.00,320.00,78.50,12.27,STOP,0.00,507
2026-02-03 11:40:15.762,NONE,398.00,288.00,496.00,320.00,78.00,12.19,STOP,0.00,512
2026-02-03 11:40:16.363,NONE,399.50,289.00,465.00,320.00,79.50,12.42,STOP,0.00,517
2026-02-03 11:40:16.971,NONE,359.50,355.00,483.00,320.00,39.50,6.17,STOP,0.00,522
2026-02-03 11:40:17.570,NONE,358.00,342.00,475.00,320.00,38.00,5.94,STOP,0.00,527
2026-02-03 11:40:18.165,RIGHT,378.00,366.00,500.00,320.00,58.00,9.06,TURN_RIGHT,0.30,532
2026-02-03 11:40:18.841,NONE,382.00,350.00,198.00,320.00,62.00,9.69,STOP,0.00,537
2026-02-03 11:40:19.370,TOP,314.50,441.00,356.00,320.00,5.50,0.86,BACKWARD,0.30,542
2026-02-03 11:40:20.045,RIGHT,343.00,498.00,467.00,320.00,23.00,3.59,TURN_RIGHT,0.30,547
2026-02-03 11:40:20.708,NONE,373.50,277.00,335.00,320.00,53.50,8.36,STOP,0.00,552
2026-02-03 11:40:21.239,NONE,287.50,281.00,546.00,320.00,32.50,5.08,STOP,0.00,557
2026-02-03 11:40:21.771,NONE,263.50,197.00,238.00,320.00,56.50,8.83,STOP,0.00,562
2026-02-03 11:40:22.413,FAR,432.00,140.00,226.00,320.00,112.00,17.50,FORWARD,0.30,567
2026-02-03 11:40:22.967,"FAR,RIGHT",527.50,129.00,292.00,320.00,207.50,32.42,TURN_RIGHT,0.30,572
